DATE,STATION,TMAX,TMIN,PRCP
2004-09-01,WAM00068098,19.5,10.0,
2004-09-02,WAM00068098,19.5,10.7,
2004-09-04,WAM00068098,18.8,9.8,
2004-09-06,WAM00068098,24.2,7.4,
2004-09-07,WAM00068098,24.2,10.1,
2004-09-10,WAM00068098,19.7,10.4,
2004-09-12,WAM00068098,23.0,10.1,
2004-09-13,WAM00068098,23.0,9.0,
2004-09-14,WAM00068098,,11.5,
2004-09-15,WAM00068098,18.4,11.5,
2004-09-16,WAM00068098,20.6,10.9,
2004-09-19,WAM00068098,25.5,4.6,
2004-09-23,WAM00068098,24.1,10.0,104.9
